,keras_cv,trial_index,arm_name,learning_rate,dropout_rate,num_hidden_layers,neurons_per_layer,batch_size,activation,optimizer,trial_status,generation_method
77,1.968483680486679,168,168_0,0.00789337569276556,0.01973819756862584,4,199,64,relu,adam,COMPLETED,BO_MIXED
164,1.985208261013031,67,67_0,0.007958072707944134,0.020163980957275212,4,194,64,relu,adam,COMPLETED,BO_MIXED
104,2.0005121648311617,192,192_0,0.008184183240706975,0.01983614098899357,4,200,64,relu,adam,COMPLETED,BO_MIXED
67,2.008734607696533,159,159_0,0.007367708833552567,0.01971347625083278,4,200,64,relu,adam,COMPLETED,BO_MIXED
147,2.0191533267498016,52,52_0,0.007621334424510837,0.020368754848348037,4,195,64,relu,adam,COMPLETED,BO_MIXED
29,2.0213277280330657,124,124_0,0.007488090866059776,0.019730120770113605,4,199,64,relu,adam,COMPLETED,BO_MIXED
142,2.0666061997413636,47,47_0,0.006855148170430431,0.02070788124823678,4,194,64,relu,adam,COMPLETED,BO_MIXED
108,2.074164444208145,196,196_0,0.007821467319965815,0.01973544135115984,4,198,64,relu,adam,COMPLETED,BO_MIXED
45,2.0785616874694823,139,139_0,0.008600849459768904,0.01970824296912137,4,197,64,relu,adam,COMPLETED,BO_MIXED
178,2.080157518386841,80,80_0,0.009817347167127916,0.019545020567242333,4,200,64,relu,adam,COMPLETED,BO_MIXED
3,2.0860280334949493,101,101_0,0.00864170154599793,0.019757911193850418,4,194,64,relu,adam,COMPLETED,BO_MIXED
155,2.0885741114616394,59,59_0,0.008226701954385787,0.020035729390632244,4,195,64,relu,adam,COMPLETED,BO_MIXED
167,2.0920317649841307,70,70_0,0.007114463086174604,0.019565413974604356,4,194,64,relu,adam,COMPLETED,BO_MIXED
12,2.097969502210617,110,110_0,0.00835943415617313,0.019700720598702277,4,192,64,relu,adam,COMPLETED,BO_MIXED
140,2.0998381972312927,45,45_0,0.006161983382274147,0.02002976513929591,4,200,64,relu,adam,COMPLETED,BO_MIXED
137,2.110677969455719,43,43_0,0.0070251172211240115,0.018743945195390656,4,186,64,relu,adam,COMPLETED,BO_MIXED
88,2.1110308825969697,178,178_0,0.008834445837632918,0.019756080259044503,4,193,64,relu,adam,COMPLETED,BO_MIXED
182,2.1184689879417418,84,84_0,0.011124153382422591,0.019579225133222147,4,199,64,relu,adam,COMPLETED,BO_MIXED
68,2.1260051250457765,160,160_0,0.008361614134566063,0.01967344360194561,4,200,64,relu,adam,COMPLETED,BO_MIXED
107,2.1294611215591432,195,195_0,0.007941182566737948,0.019810807054488986,4,200,64,relu,adam,COMPLETED,BO_MIXED
129,2.132473909854889,35,35_0,0.010240988738250243,0.018672901134276897,4,191,128,relu,adam,COMPLETED,BO_MIXED
89,2.1405534982681274,179,179_0,0.010522019313897086,0.019862082905430425,4,200,64,relu,adam,COMPLETED,BO_MIXED
121,2.1434170722961428,28,28_0,0.012544592932131017,0.019542662727931155,4,190,128,relu,adam,COMPLETED,BO_MIXED
186,2.182040107250214,88,88_0,0.011737344411688557,0.019781208049857987,4,198,64,relu,adam,COMPLETED,BO_MIXED
44,2.182504987716675,138,138_0,0.007209898389744534,0.019959136064103752,4,198,64,relu,adam,COMPLETED,BO_MIXED
